__label__1 , 货已 收到 质量 不错 京东 服务
__label__2 , IPS 漏光 爱好 笔记本 电影 用户 瑕疵 缺陷 确实 难以 接受 因会 在意 特与 客服 前期 沟通 客服 购买 售后 技术 连线 检验 漏光 购买 单机 操作 检验 机器 硬件 理由 退货 告知 激活 OFFICE 品牌 朋友 惠普 激活 Office 购买 置之不理 服务态度 用户 体验 机器 轻巧 整机 盖合 状态 缝隙 紧密 缝隙 键盘 满满 一种 劣质 产品 感觉
__label__2 , 一个月 打电话 听不清 音质 太差
__label__2 , 运费 去取 客服 那位 客服 新来 感觉 做生意 诚信
__label__1 , 鞋子 皮革 冬天 保暖 效果
__label__2 , 电池 晚上 中午 接电话 上网 耗电
__label__1 , 质量 不错 性价比 送货
__label__2 , 包装 简陋 千多 手机 点心 手机 开封 评价 网上 音响 礼品 为啥 手机 盒角 碰撞 凹陷 打包 快递 暴力 分拣
__label__2 , 不到 一个月 主板 主板 电池 质量 真的 不敢恭维
__label__2 , 整体 感觉 不错 正反两面 闪念 胶囊 bug 一会 重启 恢复
__label__1 , 质量 做工 不错 顾客 老公 穿着 性价比 不错
__label__1 , 衣服 收到 布料 尺码 合适 上身 效果 不错 衣服
__label__1 , 唯一 一点 太短
__label__1 , 屏幕 清晰 电池 续航 中度 续航 自带 手机套 太松 不好 钢化 价格 配置
__label__2 , 用户 未填写 评价 内容
__label__1 , 舒服 休闲 价格 满意
__label__1 , 不错
__label__1 , 裤子 质量 舒服 做工 多余 线头 价格 实惠 物流 很快 客服 服务态度
__label__2 , 有线 键鼠 略显 low
__label__2 , 手机 不错 米粉 星期 星期 差评
__label__1 , 手机 买过 爸爸 颜色 好看 爸爸 说用 很快 不卡 喜欢 颜值 一款 手机 物流配送 很快 喜欢 京东 包裹 包装 隐私 保护 包裹 显示 隐私 东西
__label__1 , 公司 好几
__label__1 , 京东 值得 信赖 优惠 错过 魅族 机型 超值
__label__1 , 发货 画面 清晰 流畅
__label__1 , 收到 很快 妹妹 妹妹 不好 太重 激动 退货 努比亚 不好 真的 不好 性价比 运行 鬼快
__label__2 , 手机 手机 不到 七天 降价 申请 京东 客服 告诉 申请 原因 两天 申请 无语 手机 七天 降价 七天 降价 购买 手机 客服 告知 朋友 申保 真是太 差劲 七天 之内 购买 部手机 降价 顾客 短信 提示 名额 保留 欺骗 消费者
__label__2 , 包装 简陋 纸盒子 手机 里边 乱撞 耳机 差评 差评 差评 差评
__label__1 , 鞋子 质量 超好 价格 很值 第一次 鞋子 一点 老板 最快 速度 更换 额外 礼品 服务 真心 还会来 光顾
__label__2 , 京东 物流 很快 手机 二维码 卡住 回去 京东 返修 样子 手机 二维码 卡住 死机 开机
__label__2 , 不好 电脑 苹果 浮云 第一天 价格 5988 价格 5899 赠品 苹果 东西 不好 一分 分选 一分 一分
__label__2 , 华为 p20 性价比 期望 没太高 没太高 感觉 费解 用到 刘海 这方面 为啥 非要 东西 导购 科技 发展 地步 为啥 玩游戏 视频 东西 开启 全屏 显示 异常 东西 干嘛
__label__1 , 客服 傻子 快递 慢得 要命 主机 不好 第一次 京东 失望 LOL 气人 后悔
__label__1 , 完美 喜欢
__label__1 , 不错 电脑 酷毙了 太帅 超快 软件 界面 干净 清爽 广告 太好 极力推荐 微软 电脑 值得 拥有
__label__1 , 做工 男朋友 上班 穿上去 舒服 闷热 肯定 回购 鞋子 价格 不贵
__label__2 , 舒服 网购 提醒 此款 手机 贴膜 白边 事情 三遍 它会 漏到 屏幕 质保 新手机 不带 包装 华为 真的 受伤
__label__1 , 手机 不错 玩游戏 流畅
__label__1 , 电脑 超级 好用 外壳 好像 金属 质感 感觉 棒棒
__label__2 , 上次 一条 舒服 三条 买回来 库子 长短不一 客服 好意思 国际标准 设计 怀疑
__label__1 , 荣耀 两年 该换 荣耀 荣耀 失望 感觉 流畅 好评
__label__1 , 收到 手机 不错 字迹 清晰 声音 很大 总体 不错 好评
__label__1 , 电脑 开机 键盘 屏幕 连接 地方 塑料
__label__1 , 电脑 轻便 官网 查询 正品 出厂日期 2017.12 底座 发热 程序 速度
__label__1 , 选择 没错
__label__2 , 噪音
__label__1 , 到货 很快 不错
__label__2 , 小米 手机 下单 一款 性价比 老妈 到手 两天 屏幕 碎裂 裂得 惨不忍睹 售后 人为 原因 明明 质量 原因
__label__1 , 裤子 质量 尺寸 刚刚 物超所值 面料 舒适 厚薄 做工 不错
__label__1 , 不错 一台 宏碁 七年 依然 坚挺 入手 这台 不错 低调 游戏
__label__2 , 差评 昨天 新买 收到 今晚 充电 半个 小时 电都 没充 退货
__label__2 , 太贵 价格 保护 不到 半个 降价
__label__2 , 昨天 赠品 没货 赠品 显示 赠品 优惠价 同事 退货 重拍
__label__2 , 差评 发票 投诉无门 气炸
__label__1 , 下班 快递 拆开 看过 感觉 真心 超级 喜欢 超级 划算 性价比 朋友 超值 推荐 朋友 下次 还会来 购买 .... 犹豫 朋友 下手 良心 推荐 活动 划得来 性价比 不错 物流 卖家 发货 速度 很快 服务 到位 速度 服务 下次 还来 这家 店铺 真心 真心
__label__2 , 手机 不好 太慢
__label__2 , 拉链 上方 扣子 这是 特色
__label__2 , 手机 原因 评分 京东 手机 钢化 导致 愉快 购物 体验 特地 套餐 手机 两个 干涉 办法 只好 动手 钢化 不抗 指纹 手机 原本 打电话 客服 手机 客服 推给 京东 京东 卖家 告诉 换壳 发过来 套餐 想换 手机 新换 套餐 套餐 选择 妥协 保留 评价 权利 京东 客服 退货 换货 这是 京东 利益 客服 利益
__label__2 , 莫名其妙 关机 重启
__label__1 , 机器配置 高速度 到货
__label__2 , 手机 一整 下排 软件 变暗 请问 毛病
__label__1 , 用户 未填写 评价 内容
__label__2 , 半个 垃圾 营销 申请 售后 保价 差价 电脑 支持 退款 全是 霸王 条款 京东 失望
__label__1 , 质量 不错
__label__2 , 买回来 打电话 开个 热点 home 莫名其妙
__label__2 , 背面 有个 很小 划痕 肯定 退货 shou dong 不愧 er shou 东西 网上 放心 300
__label__1 , 做工 瑕疵 pin 登录 会卡顿 风扇 声音 挺重 外观 喜欢 品牌 游戏 低调 再用 一段时间 好好 体验 配件 买好 希望 往后
__label__1 , 服务 下次
__label__1 , 裤子 质量 满意 一条
__label__2 , 真的 不想 买贵 机子 磨损 几千块
__label__1 , 开机 速度 挺快 自动关机 情况 怎么回事
__label__1 , 上班 电脑 外面 跑来跑去 轻便 不卡 电脑 好多 牌子 老公 戴尔 售后 机子 皮实 粉粉 本本 拆开 惊艳 网上 图片 小巧 家里 Applepro 上班 主力 感觉 不错 赞赞赞
__label__2 , 这家 店里 翻新 二手货 说好 主板 梅捷 发过来 杂牌 牌子 全新 正品 cpu 二手 散片 全新 硬盘 翻新 参数表 两张 图片 有图 真相 京东 客服 专员 包庇 卖家 黑东
__label__1 , 价钱 还好
__label__1 , 轻便 鞋头 一点点 影响
__label__2 , 一颗 不想 这款 手机 坑人 人民币
__label__1 , 东西 穿着 舒服 个性
__label__1 , 鞋子 不错 有形 价格 实惠
__label__1 , 鞋子 瑕疵 瑕疵 鞋子 实体店 肯定 卖不出去
__label__2 , 两天 hellip 一点 前置 2400 百万 像素 解释一下 1500 1600 百万 像素 欺骗 消费者 听说 华为 支持 国产 这是 第一次 购买 购买 第二次 光大 同胞 像素 回去 失望 体验 一把 祝你好运
__label__2 , 这回 算是 颠覆 联想 产品 形象 真的 太令 失望 收货 充了 客服 交流 办法 开机 实在 无耐 提出 退货 申请 审核 过程 开机 电池 量少 充电 时间 赶紧 取消 退货 申请 嘀咕 错怪 联想 品牌 兴高采烈 资料 YOGA 迁移 期间 开关 次机 心想 大功告成 悲剧 开机 装下 软件 机了 折腾 显示 电池 100% 开机 安装 交流 软件 关机 机了 充了 晚上 早上 信息 机器 抓狂 百度搜 节奏 开机 资料 备份 退货
__label__2 , 价位 手机 耳机 标配 差评
__label__1 , 宝贝 质量 弹性 合身 好评
__label__1 , 亲测 高性能 全开 无卡顿 gta5 运行 总体 不错
__label__1 , 轻薄 拿在手上 质感 显卡 理想 散热 原因 小巧 本子 重量 1200g 1300g 感到 差距 散热 确实 听歌网 半小时 感觉 底部 进风 键盘 左手边 出风口 幸好 右手边 充满 一个多 小时 续航 没测 到手 百分之七十 电量 斗地主 本子 定义 聊天 网页 影音 斗地主 代码 视频 颜值 收发 性价比 壮哉
__label__1 , 满意 购物
__label__2 , 京东 独家经营 平台 售后 保障 很大 风险 京东 购买 海尔 电脑 联想 发票 打印机 办公设备 折腾 三天 没弄 钱花 不说 耽误时间 员工 带来 很大 情绪 京东 联想 客服 售后 始终 未能 解决 事情 退货 多花钱 第三方 担保 实体店 购买 不必要 麻烦 失望
__label__2 , 小米 手机 一个多 星期 自动 重启 发现 重启 两次 怎么着 后悔 牌子 手机 真心 不行
__label__1 , 鼠标 太小 适合 女士
__label__1 , 鞋子 收到 大小 合适 卖家 服务态度 发货 速度 很快
__label__1 , 
__label__2 , 京东 管理 快递 很大 程度 漏洞 快递 负面 形象 越做越 店大欺客 愤怒 6.2 晚上 显示 签收 订单 6.3 晚上 接到 快递 通知 电话 这是 情况 这是 服务 正面 形象 京东 快递
__label__1 , 用户 未填写 评价 内容
__label__1 , 京东 东西 不错 一如既往 信赖 京东
__label__2 , 到货 拆开 包装 卡卡 纸片 翻折 开机 后下 几个 打开 王者 卡死 这是 手机 天前 荣耀 到手 发现 背面 花纹 杂乱 v9 心累 不想
__label__1 , 发货 物流 质量
__label__2 , 充一 晚上 电到 83% 再用
__label__2 , 京东 买过 坑人 东西 网上 买手机 霸王 条款
__label__1 , 电脑 到手 感觉 不错 性价比 轻薄 开机 速度 印象 深刻 电池 续航 能力 出色 机子 非常适合 外出 携带 散热 性能 不错 几个 小时 局部 温感 感觉 音量 表现 算是 我用 手提电脑 一句 总体 感觉 满意
__label__2 , 质量 不行
__label__1 , 很强 一段时间 再评
__label__1 , 快递 速度 昨天下午 早上 收到 迫不及待 打开 包装 精美 本本 轻薄 程度 满意 开机 速度 确实 期间 客服 晓雅 MM 耐心 帮忙 解决 态度 要赏 鸡腿饭 到手 东西 研究 性能 段时间 追加
__label__1 , 不错
__label__2 , 客服 强加 狡辩 手机 送人
__label__2 , 刘海 丑死 电池 充满 够用 白天
__label__2 , 降价 太快 情况 假货
__label__1 , 穿着 舒服 还会
__label__2 , 十多天 降价 300 太坑 系统 自动 升级 蓝屏 两天 郁闷
__label__1 , 穿着 舒服
__label__1 , 电脑 不错 娱乐 大师 下载 双开 地下城 cpu 占用率 百分之 天刀 特效 压力 散热 一般般 温度 屏幕 漏光 接缝处 不好 割手 性价比 值得 入手
__label__1 , 手机 老妈 收到 初步 体验 不知 电池 一段时间
__label__2 , 误导 豪华 套餐 优惠 1269 晚上 标准版 1199 TM 草蛋 自营
__label__1 , 
__label__1 , 机器 不错 运行 预装 win10 系统 性价比
__label__1 , 飞利浦 品牌 值得 信赖 价格 便宜
__label__1 , 电脑 轻薄 颜值 win10 用不惯 清屏 字体 太小 眼睛 软件 画面
__label__2 , 包装 拆开 怎么回事 京东 胶布 拆开 换成 透明 胶布 透心凉
__label__1 , 收到 尺码 正合适 舒服 很漂亮 五分
__label__1 , 产品 看着 用过 一段时间 追评
__label__2 , 差评 以下几点 裸机 安装程序 字体 模糊 客服 解决 打开 游戏 模糊 dpi 变卡 键盘 暗红色 背光 晚上 光线 不好 看不清 风扇 声音 太大 鼠标 右键 升级 系统 不卡顿 7.128 固态 开机 70g 升级 系统 40g 小米 手机 usb 共享 wifi 蓝屏 客服 小米 纳闷 联想 蓝屏 服务态度 客服 客服 只会 推脱
__label__2 , 手机 毛病 营销 方式 恶心 品牌 过后 品牌 客服 七天 理由 退换 补发 赠品 消费者 欺负
__label__2 , 照相 特别 模糊
__label__1 , 满意
__label__1 , 百分之百 正品 外观 做工 细致 质量 不错 鞋子 透气 不错
__label__1 , 不错 舒服 上脚 好看
__label__2 , 一向 好评 确实 第一次 网上 买手机 买回来 大所 失望 钢化 红米 NOT5 耳机 超大 耳机 定制 融入 人群 退货
__label__1 , 做工 精细 几步 发热 大赞 推荐
__label__1 , 宝贝 收到 儿子 喜欢 物有所值 大小 合适 物流 值得 购买
__label__1 , 物流 很快 鞋子 质量 穿着 舒服
__label__1 , 衣服 收到 舒服 合身
__label__2 , 右边 缝隙 摄像头 不正 看贴 多吐槽 没想到 碰上 做工 真的 垃圾 第一个 锤子 手机
__label__2 , 分辨率 太低 几百块 手机 没法 做个 备用 手机 期望 太高
__label__2 , 差评 电脑 京东 意见 很大 价格 买下 京东 会员 电脑 降价 申请 差价 真火大
__label__2 , 愉快 购物 收到 说好 第二天 到货 笔记本 按着 会响
__label__1 , 裤子 不错 舒适 期待 下次 购买 嘻嘻
__label__2 , 不好 不好 不好 不好 差劲 差劲 差劲 打电话 回音 客服 只会 官话 没什么 打电话 回音 打电话 回音 打电话 回音 打电话 回音
__label__2 , 这是
__label__2 , 用户 布拉格 换到 mini
__label__2 , 电脑 发热 厉害 有时候 还会 卡顿 售后 推销
__label__2 , 京东 天才 购买 手机 确认 收货 两天 两天 客服 申请 退货 手机 客服 激活 退货 京东 骗人 这家 私人
__label__1 , 上船 成功 好开心 等待 忐忑 翻船 询问 友们 机器 性能 强劲 散热 给力 看中 这款 台式 选件 升级 翻船 开心 好评
__label__2 , 屏幕 老人家 看不清 适合 老人 定位
__label__2 , 差评 颗星 最少 一颗 客观 理由 手机 老妈 一个多月 上周 回老家 老妈 发现 插卡 识别 手机卡 借用 手机卡 张卡 包涵 联通 不行 尝试 重启 输入 指令 后台 查看 sim 读取 信息 情况 无解 情况 市里 手机店 维修 师傅 看一看 拆机 情况 维修 师傅 反馈 小米 手机 常见 返回 查看 评价 差评 同学 情况 米粉 小米 手机 odm 公司 代工 设计 红米 系列 太水 质量 之差 出厂 测试 验证 自营 小米 之家 区别 进货 渠道 区别 店家 客服 服务态度 失望 维修 观察 维修 拆机 维修 返厂 手机 辐射 rse 保障 想想 郁闷 十多分钟 差评 写出 理由 供参考 希望 维修 给力 一点 后续 维修 情况 跟踪 维修 不给力 一条 差评 手机 回家 老妈 吐槽 影响 心情 不好 实名 评论 以此 证明 评论 真实性 同学 评论
__label__1 , 兄弟 样子 不错 希望 多用 段时间
__label__1 , 电脑 整体 性能 不错 开机 以内 关机 下载 大师 22.2 cpu 显卡 给力 下载 感觉 唯一 缺憾 电池 损耗 刚买 新机 电池 损耗 6.6% 损耗 速度 太快 电池 续航 不怎么样 外观 很漂亮 散热 噪音
__label__2 , 妈妈 不到 半个 小时 烫手 一会 玩游戏 充着 电玩 开启 太多 后台程序 性能 只能 华为 手机 质量 越来越 垃圾 年轻人 我远 外地 退货 麻烦 华为 良心 京东 越来越 失望
__label__2 , 水军 华硕 介绍 华硕 不错 不说 1050ti LOL 卡顿 5999 笔记本 屏幕 还会 漏光 真不知道 哪来 勇气 华硕 体验 极差
__label__2 , 哪有 电话卡 显示 无货 小米 商城 赠送 耳机
__label__2 , 满意 包装 不怎么样 没送 耳机 没送
__label__2 , 京东 自营 东西 越来越 可靠 手机 特别
__label__1 , 不错 正品 透气 舒服
__label__1 , 低调 奢华 内涵 高端 大气 上档次 人帅 美鞋 好看 没得说
__label__1 , 快递 速度 质量 不错
__label__2 , 水货 真的 水货 电脑 买回来 两天 死机 不说 客服 理由 推脱 扔给 售后 售后 扔给 微星 客服 态度 真的 很差 本来 七天 无条件 退款 开机 更新 Windows 系统 联网 自动更新 windows 真的 套路 怀疑 京东 自营 质量 擦亮眼睛 电脑 大大小小 客服 不理 态度 配图 外设 鼠标 键盘 灯光 处于 开机 状态 操作 屏幕 黑屏 死机 状态
__label__1 , 质量 不错 物流 放心 购买 123
